year,electrolyzer_additions_day,electrolyzer_additions_year,cum_supply_pem
2020,0,0,0
2021,0,0,0
2022,0,0,0
2023,5,1825,1825
2024,10,3650,3650
2025,11,4015,5840
2026,12,4380,8030
2027,31,11315,17155
2028,50,18250,26280
2029,62.5,22812.5,39967.5
2030,75,27375,53655
2031,127.5,46537.5,86505
2032,180,65700,119355
2033,202.5,73912.5,160417.5
2034,225,82125,201480
2035,307.5,112237.5,272655
2036,390,142350,343830
2037,485,177025,449680
2038,580,211700,555530
2039,590,215350,665030
2040,600,219000,774530
2041,587.5,214437.5,879467.5
2042,575,209875,984405
2043,537,196005,1075472.5
2044,499,182135,1166540
2045,357,130305,1205777.5
2046,215,78475,1245015
2047,132.5,48362.5,1254140
2048,50,18250,1263265
2049,30,10950,1274215
2050,10,3650,1266915