Sector,MMT_Co23,year
Transportation,175.7,2000
Transportation,175.7,2001
Transportation,183.0,2002
Transportation,180.2,2003
Transportation,181.5,2004
Transportation,183.1,2005
Transportation,183.0,2006
Transportation,182.8,2007
Transportation,171.9,2008
Transportation,165.7,2009
Transportation,162.9,2010
Transportation,159.5,2011
Transportation,156.9,2012
Transportation,157.0,2013
Transportation,157.7,2014
Transportation,161.5,2015
Transportation,165.2,2016
Transportation,166.6,2017
Transportation,165.3,2018
Transportation,162.4,2019
Transportation,135.8,2020
Industrial,93.0,2000
Industrial,92.5,2001
Industrial,93.7,2002
Industrial,92.0,2003
Industrial,95.4,2004
Industrial,93.2,2005
Industrial,92.9,2006
Industrial,90.3,2007
Industrial,88.1,2008
Industrial,85.6,2009
Industrial,87.8,2010
Industrial,85.8,2011
Industrial,80.7,2012
Industrial,83.0,2013
Industrial,85.2,2014
Industrial,83.2,2015
Industrial,81.6,2016
Industrial,81.7,2017
Industrial,81.9,2018
Industrial,80.4,2019
Industrial,73.3,2020